Province.State,Country.Region,Lat,Long,date,cases,type
NA,Afghanistan,33,65,2020-01-22,0,confirmed
NA,Afghanistan,33,65,2020-01-23,0,confirmed
NA,Afghanistan,33,65,2020-01-24,0,confirmed
NA,Afghanistan,33,65,2020-01-25,0,confirmed
NA,Afghanistan,33,65,2020-01-26,0,confirmed
NA,Afghanistan,33,65,2020-01-27,0,confirmed
NA,Afghanistan,33,65,2020-01-28,0,confirmed
NA,Afghanistan,33,65,2020-01-29,0,confirmed
NA,Afghanistan,33,65,2020-01-30,0,confirmed
NA,Afghanistan,33,65,2020-01-31,0,confirmed
NA,Afghanistan,33,65,2020-02-01,0,confirmed
NA,Afghanistan,33,65,2020-02-02,0,confirmed
NA,Afghanistan,33,65,2020-02-03,0,confirmed
NA,Afghanistan,33,65,2020-02-04,0,confirmed
NA,Afghanistan,33,65,2020-02-05,0,confirmed
NA,Afghanistan,33,65,2020-02-06,0,confirmed
NA,Afghanistan,33,65,2020-02-07,0,confirmed
NA,Afghanistan,33,65,2020-02-08,0,confirmed
NA,Afghanistan,33,65,2020-02-09,0,confirmed
NA,Afghanistan,33,65,2020-02-10,0,confirmed
NA,Afghanistan,33,65,2020-02-11,0,confirmed
NA,Afghanistan,33,65,2020-02-12,0,confirmed
NA,Afghanistan,33,65,2020-02-13,0,confirmed
NA,Afghanistan,33,65,2020-02-14,0,confirmed
NA,Afghanistan,33,65,2020-02-15,0,confirmed
NA,Afghanistan,33,65,2020-02-16,0,confirmed
NA,Afghanistan,33,65,2020-02-17,0,confirmed
NA,Afghanistan,33,65,2020-02-18,0,confirmed
NA,Afghanistan,33,65,2020-02-19,0,confirmed
NA,Afghanistan,33,65,2020-02-20,0,confirmed
NA,Afghanistan,33,65,2020-02-21,0,confirmed
NA,Afghanistan,33,65,2020-02-22,0,confirmed
NA,Afghanistan,33,65,2020-02-23,0,confirmed
NA,Afghanistan,33,65,2020-02-24,1,confirmed
NA,Afghanistan,33,65,2020-02-25,0,confirmed
NA,Afghanistan,33,65,2020-02-26,0,confirmed
NA,Afghanistan,33,65,2020-02-27,0,confirmed
NA,Afghanistan,33,65,2020-02-28,0,confirmed
NA,Afghanistan,33,65,2020-02-29,0,confirmed
NA,Afghanistan,33,65,2020-03-01,0,confirmed
NA,Afghanistan,33,65,2020-03-02,0,confirmed
NA,Afghanistan,33,65,2020-03-03,0,confirmed
NA,Afghanistan,33,65,2020-03-04,0,confirmed
NA,Afghanistan,33,65,2020-03-05,0,confirmed
NA,Afghanistan,33,65,2020-03-06,0,confirmed
NA,Afghanistan,33,65,2020-03-07,0,confirmed
NA,Afghanistan,33,65,2020-03-08,3,confirmed
NA,Afghanistan,33,65,2020-03-09,0,confirmed
NA,Afghanistan,33,65,2020-03-10,1,confirmed
NA,Afghanistan,33,65,2020-03-11,2,confirmed
NA,Afghanistan,33,65,2020-03-12,0,confirmed
NA,Afghanistan,33,65,2020-03-13,0,confirmed
NA,Afghanistan,33,65,2020-03-14,4,confirmed
NA,Afghanistan,33,65,2020-03-15,5,confirmed
NA,Afghanistan,33,65,2020-03-16,5,confirmed
NA,Albania,41.1533,20.1683,2020-01-22,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-23,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-24,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-25,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-26,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-27,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-28,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-29,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-30,0,confirmed
NA,Albania,41.1533,20.1683,2020-01-31,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-01,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-02,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-03,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-04,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-05,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-06,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-07,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-08,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-09,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-10,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-11,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-12,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-13,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-14,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-15,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-16,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-17,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-18,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-19,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-20,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-21,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-22,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-23,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-24,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-25,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-26,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-27,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-28,0,confirmed
NA,Albania,41.1533,20.1683,2020-02-29,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-01,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-02,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-03,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-04,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-05,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-06,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-07,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-08,0,confirmed
NA,Albania,41.1533,20.1683,2020-03-09,2,confirmed
NA,Albania,41.1533,20.1683,2020-03-10,8,confirmed
NA,Albania,41.1533,20.1683,2020-03-11,2,confirmed
NA,Albania,41.1533,20.1683,2020-03-12,11,confirmed
NA,Albania,41.1533,20.1683,2020-03-13,10,confirmed
NA,Albania,41.1533,20.1683,2020-03-14,5,confirmed
NA,Albania,41.1533,20.1683,2020-03-15,4,confirmed
NA,Albania,41.1533,20.1683,2020-03-16,9,confirmed
NA,Algeria,28.0339,1.6596,2020-01-22,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-23,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-24,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-25,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-26,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-27,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-28,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-29,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-30,0,confirmed
NA,Algeria,28.0339,1.6596,2020-01-31,0,confirmed
NA,Algeria,28.0339,1.6596,2020-02-01,0,confirmed
